Parameters,Data,Current generation,"Best solution
found so far
in island 1","Best solution
found so far
in island 2","Best solution
found so far
in island 3","Best solution
found so far
in island 4","Best solution
in island 1",Results 1,"Best solution
in island 2",Results 2,"Best solution
in island 3",Results 3,"Best solution
in island 4",Results 4
Crossover probability,"[0.3, 0.5, 0.7, 1.0]",200,23720,23720,23720,23720,Backpack configuration,"[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0]",Backpack configuration,"[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 0 1 0 0 0 0 0 0]",Backpack configuration,"[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 0 1 0 0 0 0 0 0]",Backpack configuration,"[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0]"
Mutation probability,"[0.05, 0.1, 0.15, 0.2]",300,23720,23720,23720,23720,,,,,,,,
Backpack capacity,45,499,23720,23720,23720,23720,,,,,,,,
Maximum backpack weight,58181,,,,,,,,,,,,,
Instance used,\ks_45_0.txt,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Population size,500,0,22495,18960,21930,22296,Weight,57940,Weight,57940,Weight,57940,Weight,57940
Number of generations,500,100,23720,23720,23720,23720,Value,23720,Value,23720,Value,23720,Value,23720
Crossover probability,"[0.3, 0.5, 0.7, 1.0]",200,23720,23720,23720,23720,Backpack configuration,"[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0]",Backpack configuration,"[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 0 1 0 0 0 0 0 0]",Backpack configuration,"[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 0 1 0 0 0 0 0 0]",Backpack configuration,"[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0]"
Mutation probability,"[0.05, 0.1, 0.15, 0.2]",300,23720,23720,23720,23720,,,,,,,,
Backpack capacity,45,499,23720,23720,23720,23720,,,,,,,,
Maximum backpack weight,58181,,,,,,,,,,,,,
Instance used,\ks_45_0.txt,,,,,,,,,,,,,
,,,,,,
Population size,2000,0,9026.0,,,,Weight,25018,Weight,-1,Weight,-1,Weight,-1
Number of generations,500,100,9959.0,,,,Value,9959.0,Value,-1,Value,-1,Value,-1
Crossover probability,"[0.3, 0.5, 0.7, 1.0]",200,9959.0,,,,Backpack configuration,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],Backpack configuration,[None],Backpack configuration,[None],Backpack configuration,[None]
Mutation probability,"[0.05, 0.1, 0.15, 0.2]",300,9959.0,,,,,,,,,,,
Backpack capacity,19,499,9959.0,,,,,,,,,,,
Maximum backpack weight,31181,,,,,,,,,,,,,
Instance used,\ks_19_0.txt,,,,,,,,,,,,,
,,,,,,
Population size,500,0,9026.0,,,,Weight,25018,Weight,-1,Weight,-1,Weight,-1
Number of generations,500,100,9959.0,,,,Value,9959.0,Value,-1,Value,-1,Value,-1
Crossover probability,"[0.3, 0.5, 0.7, 1.0]",200,9959.0,,,,Backpack configuration,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],Backpack configuration,[None],Backpack configuration,[None],Backpack configuration,[None]
Mutation probability,"[0.05, 0.1, 0.15, 0.2]",300,9959.0,,,,,,,,,,,
Backpack capacity,19,499,9959.0,,,,,,,,,,,
Maximum backpack weight,31181,,,,,,,,,,,,,
Instance used,\ks_19_0.txt,,,,,,,,,,,,,
,,,,,,
Population size,500,0,90001.0,90001.0,99769.0,90001.0,Weight,90000,Weight,90000,Weight,99759,Weight,90000
Number of generations,500,100,90001.0,90001.0,99769.0,90001.0,Value,90001.0,Value,90001.0,Value,99769.0,Value,90001.0
Crossover probability,"[0.3, 0.5, 0.7, 1.0]",200,90001.0,90001.0,99769.0,90001.0,Backpack configuration,"[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]",Backpack configuration,"[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]",Backpack configuration,"[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]",Backpack configuration,"[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]"
Mutation probability,"[0.05, 0.1, 0.15, 0.2]",300,90001.0,90001.0,99769.0,90001.0,,,,,,,,
Backpack capacity,40,499,90001.0,90001.0,99769.0,90001.0,,,,,,,,
Maximum backpack weight,100000,,,,,,,,,,,,,
Instance used,\ks_40_0.txt,,,,,,,,,,,,,
,,,,,,
Population size,500,0,138476.0,136501.0,137808.0,138746.0,Weight,340882,Weight,340556,Weight,340786,Weight,341010
Number of generations,500,100,140241.0,139569.0,139930.0,139734.0,Value,140241.0,Value,140078.0,Value,140043.0,Value,140155.0
Crossover probability,"[0.3, 0.5, 0.7, 1.0]",200,140241.0,139592.0,139930.0,140155.0,Backpack configuration,"[0 1 0 1 0 1 0 1 1 0 1 0 1 1 0 0 0 0 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 0 1 1
 1 0 1 0 1 0 0 0 1 0 0 0 0]",Backpack configuration,"[1 0 1 0 1 1 1 0 0 1 1 0 0 0 1 0 0 0 1 0 1 1 0 1 0 0 0 0 1 0 1 1 0 0 1 1 0
 0 1 1 1 1 0 1 1 0 1 0 0 0]",Backpack configuration,"[0 0 1 0 1 0 1 0 0 0 0 0 0 1 1 1 0 0 1 0 1 0 1 0 0 0 0 0 1 1 1 0 0 0 1 0 1
 1 1 1 0 0 0 0 1 0 1 1 1 0]",Backpack configuration,"[1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0
 0 0 0 0 0 0 1 0 1 0 0 0 1]"
Mutation probability,"[0.05, 0.1, 0.15, 0.2]",300,140241.0,139592.0,140043.0,140155.0,,,,,,,,
Backpack capacity,50,499,140241.0,140078.0,140043.0,140155.0,,,,,,,,
Maximum backpack weight,341045,,,,,,,,,,,,,
Instance used,\ks_50_0.txt,,,,,,,,,,,,,
